perovskite_formula,current_density,repetition_index,VRHE,RA,RB,t,mu,QA,Nd,XA,XB,mu_t
LaMnO3,0.05,rep1,1.679,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep2,1.678,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep3,1.68,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep4,1.68,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep5,1.682,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep6,1.68,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep7,1.679,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep8,1.678,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep9,1.9,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep10,1.802,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep11,1.806,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMnO3,0.05,rep12,1.8,1.36,0.58,0.992880506,0.42962963,3.0,4.0,1.1,1.55,0.432710308
LaMn0.5Ni0.5O3,0.05,rep1,1.632,1.36,0.57,0.998051759,0.422222222,3.0,5.5,1.1,1.73,0.423046419
LaMn0.5Ni0.5O3,0.05,rep2,1.628,1.36,0.57,0.998051759,0.422222222,3.0,5.5,1.1,1.73,0.423046419
LaMn0.5Ni0.5O3,0.05,rep3,1.628,1.36,0.57,0.998051759,0.422222222,3.0,5.5,1.1,1.73,0.423046419
LaMn0.5Ni0.5O3,0.05,rep4,1.632,1.36,0.57,0.998051759,0.422222222,3.0,5.5,1.1,1.73,0.423046419
LaMn0.5Ni0.5O3,0.05,rep5,1.631,1.36,0.57,0.998051759,0.422222222,3.0,5.5,1.1,1.73,0.423046419
LaMn0.5Ni0.5O3,0.05,rep6,1.632,1.36,0.57,0.998051759,0.422222222,3.0,5.5,1.1,1.73,0.423046419
LaMn0.5Ni0.5O3,0.05,rep7,1.63,1.36,0.57,0.998051759,0.422222222,3.0,5.5,1.1,1.73,0.423046419
